,price,total_square,rooms,floor,distance_to_center
44289,23000000,67,2,12,11.200808674016761
44290,80000000,119,3,16,7.919987724897881
44291,16430960,49,2,17,10.763377148437833
44292,13700000,55,3,12,23.405921584806627
44293,11041000,61,2,3,31.258516253906894
44294,5150000,30,1,23,25.612671844970357
44295,12707677,51,2,8,21.058957935821685
44296,8300000,38,1,14,19.244338017666102
44297,113353320,134,4,3,10.068807358069426
44298,11500000,47,2,11,7.094456567272541
44299,23900000,73,2,18,13.676261344961265
44300,28500000,54,2,6,5.010884256370351
44301,34313220,72,2,24,10.894969963221156
44302,10000000,38,1,2,16.896776852243196
44303,13000000,29,1,25,9.123365821870975
